first_nneurons,second_nneurons,act_fcn,lr,dropout,batch_norm,batch_size,num_epochs,acc,out_percent,sleep_percent,home_percent
7,5,sigmoid,0.1,0,False,5,50,0.8723404255319149,0.7142857142857143,0.9047619047619048,0.8947368421052632
7,5,sigmoid,0.1,0,False,5,100,0.8723404255319149,0.8571428571428571,0.8571428571428571,0.8947368421052632
7,5,sigmoid,0.1,0,False,5,200,0.8723404255319149,0.7142857142857143,0.8571428571428571,0.9473684210526315
7,5,sigmoid,0.1,0,False,5,400,0.851063829787234,0.8571428571428571,0.8095238095238095,0.8947368421052632
7,5,sigmoid,0.1,0,False,47,25,0.851063829787234,0.7142857142857143,0.7619047619047619,1.0
7,5,sigmoid,0.1,0,False,47,50,0.8723404255319149,0.7142857142857143,0.8571428571428571,0.9473684210526315
7,5,sigmoid,0.1,0,False,47,100,0.8085106382978723,0.5714285714285714,0.8095238095238095,0.8947368421052632
7,5,sigmoid,0.1,0,False,47,200,0.8297872340425532,0.8571428571428571,0.7619047619047619,0.8947368421052632
7,5,sigmoid,0.1,0,False,47,400,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
7,5,sigmoid,0.1,0.5,True,5,25,0.851063829787234,0.8571428571428571,0.7619047619047619,0.9473684210526315
7,5,sigmoid,0.1,0.5,True,5,50,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
7,5,sigmoid,0.1,0.5,True,5,100,0.5531914893617021,1.0,0.0,1.0
7,5,sigmoid,0.1,0.5,True,5,200,0.9148936170212766,1.0,0.8095238095238095,1.0
7,5,sigmoid,0.1,0.5,True,5,400,0.8723404255319149,1.0,0.7142857142857143,1.0
7,5,sigmoid,0.1,0.5,True,47,25,0.8723404255319149,0.5714285714285714,0.8571428571428571,1.0
7,5,sigmoid,0.1,0.5,True,47,50,0.851063829787234,0.5714285714285714,0.8571428571428571,0.9473684210526315
7,5,sigmoid,0.1,0.5,True,47,100,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
7,5,sigmoid,0.1,0.5,True,47,200,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
7,5,sigmoid,0.1,0.5,True,47,400,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
7,5,sigmoid,0.1,0.5,False,5,25,0.9148936170212766,1.0,0.9047619047619048,0.8947368421052632
7,5,sigmoid,0.1,0.5,False,5,50,0.8297872340425532,0.5714285714285714,0.8571428571428571,0.8947368421052632
7,5,sigmoid,0.1,0.5,False,5,100,0.8723404255319149,0.5714285714285714,0.8571428571428571,1.0
7,5,sigmoid,0.1,0.5,False,5,200,0.851063829787234,0.7142857142857143,0.8571428571428571,0.8947368421052632
7,5,sigmoid,0.1,0.5,False,5,400,0.5106382978723404,1.0,0.0,0.8947368421052632
7,5,sigmoid,0.1,0.5,False,47,25,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
7,5,sigmoid,0.1,0.5,False,47,50,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
7,5,sigmoid,0.1,0.5,False,47,100,0.8723404255319149,0.7142857142857143,0.9047619047619048,0.8947368421052632
7,5,sigmoid,0.1,0.5,False,47,200,0.8723404255319149,0.5714285714285714,0.8571428571428571,1.0
7,5,sigmoid,0.1,0.5,False,47,400,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
7,7,sigmoid,0.0001,0,True,5,25,0.3617021276595745,0.8571428571428571,0.2857142857142857,0.2631578947368421
7,7,sigmoid,0.0001,0,True,5,50,0.8936170212765957,1.0,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.0001,0,True,5,100,0.7659574468085106,1.0,0.5238095238095238,0.9473684210526315
7,7,sigmoid,0.0001,0,True,5,200,0.8936170212765957,1.0,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.0001,0,True,5,400,0.8936170212765957,0.8571428571428571,0.8095238095238095,1.0
7,7,sigmoid,0.0001,0,True,47,25,0.2765957446808511,0.0,0.38095238095238093,0.2631578947368421
7,7,sigmoid,0.0001,0,True,47,50,0.6595744680851063,0.7142857142857143,0.6666666666666666,0.631578947368421
7,7,sigmoid,0.0001,0,True,47,100,0.5319148936170213,1.0,0.19047619047619047,0.7368421052631579
7,7,sigmoid,0.0001,0,True,47,200,0.7446808510638298,1.0,0.5238095238095238,0.8947368421052632
7,7,sigmoid,0.0001,0,True,47,400,0.9148936170212766,1.0,0.8095238095238095,1.0
7,7,sigmoid,0.0001,0,False,5,25,0.574468085106383,0.0,1.0,0.3157894736842105
7,7,sigmoid,0.0001,0,False,5,50,0.7021276595744681,0.5714285714285714,0.47619047619047616,1.0
7,7,sigmoid,0.0001,0,False,5,100,0.8085106382978723,1.0,0.5714285714285714,1.0
7,7,sigmoid,0.0001,0,False,5,200,0.8297872340425532,0.8571428571428571,0.7142857142857143,0.9473684210526315
7,7,sigmoid,0.0001,0,False,5,400,0.8723404255319149,1.0,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.0001,0,False,47,25,0.6170212765957447,0.0,0.9047619047619048,0.5263157894736842
7,7,sigmoid,0.0001,0,False,47,50,0.3829787234042553,0.0,0.0,0.9473684210526315
7,7,sigmoid,0.0001,0,False,47,100,0.6170212765957447,0.8571428571428571,0.5238095238095238,0.631578947368421
7,7,sigmoid,0.0001,0,False,47,200,0.723404255319149,1.0,0.6190476190476191,0.7368421052631579
7,7,sigmoid,0.0001,0,False,47,400,0.7446808510638298,1.0,0.42857142857142855,1.0
7,7,sigmoid,0.0001,0.5,True,5,25,0.3829787234042553,0.0,0.23809523809523808,0.6842105263157895
7,7,sigmoid,0.0001,0.5,True,5,50,0.3191489361702128,0.2857142857142857,0.14285714285714285,0.5263157894736842
7,7,sigmoid,0.0001,0.5,True,5,100,0.574468085106383,1.0,0.6666666666666666,0.3157894736842105
7,7,sigmoid,0.0001,0.5,True,5,200,0.7446808510638298,0.14285714285714285,0.7142857142857143,1.0
7,7,sigmoid,0.0001,0.5,True,5,400,0.8085106382978723,0.8571428571428571,0.6666666666666666,0.9473684210526315
7,7,sigmoid,0.0001,0.5,True,47,25,0.6170212765957447,0.0,0.8571428571428571,0.5789473684210527
7,7,sigmoid,0.0001,0.5,True,47,50,0.23404255319148937,0.2857142857142857,0.19047619047619047,0.2631578947368421
7,7,sigmoid,0.0001,0.5,True,47,100,0.425531914893617,0.7142857142857143,0.42857142857142855,0.3157894736842105
7,7,sigmoid,0.0001,0.5,True,47,200,0.7659574468085106,0.7142857142857143,0.5714285714285714,1.0
7,7,sigmoid,0.0001,0.5,True,47,400,0.6808510638297872,0.7142857142857143,0.47619047619047616,0.8947368421052632
7,7,sigmoid,0.0001,0.5,False,5,25,0.3404255319148936,0.0,0.14285714285714285,0.6842105263157895
7,7,sigmoid,0.0001,0.5,False,5,50,0.2765957446808511,0.8571428571428571,0.23809523809523808,0.10526315789473684
7,7,sigmoid,0.0001,0.5,False,5,100,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.0001,0.5,False,5,200,0.7021276595744681,0.8571428571428571,0.5238095238095238,0.8421052631578947
7,7,sigmoid,0.0001,0.5,False,5,400,0.8085106382978723,0.7142857142857143,0.6666666666666666,1.0
7,7,sigmoid,0.0001,0.5,False,47,25,0.425531914893617,0.0,0.9523809523809523,0.0
7,7,sigmoid,0.0001,0.5,False,47,50,0.3829787234042553,0.0,0.047619047619047616,0.8947368421052632
7,7,sigmoid,0.0001,0.5,False,47,100,0.6595744680851063,0.42857142857142855,0.8095238095238095,0.5789473684210527
7,7,sigmoid,0.0001,0.5,False,47,200,0.6808510638297872,0.2857142857142857,0.5238095238095238,1.0
7,7,sigmoid,0.0001,0.5,False,47,400,0.2553191489361702,0.7142857142857143,0.09523809523809523,0.2631578947368421
7,7,sigmoid,0.001,0,True,5,25,0.8723404255319149,0.8571428571428571,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.001,0,True,5,50,0.8936170212765957,1.0,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.001,0,True,5,100,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0,True,5,200,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0,True,5,400,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0,True,47,25,0.8085106382978723,0.14285714285714285,0.8571428571428571,1.0
7,7,sigmoid,0.001,0,True,47,50,0.9148936170212766,1.0,0.8095238095238095,1.0
7,7,sigmoid,0.001,0,True,47,100,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.001,0,True,47,200,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0,True,47,400,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0,False,5,25,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.001,0,False,5,50,0.851063829787234,0.7142857142857143,0.7619047619047619,1.0
7,7,sigmoid,0.001,0,False,5,100,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0,False,5,200,0.8723404255319149,0.7142857142857143,0.8571428571428571,0.9473684210526315
7,7,sigmoid,0.001,0,False,5,400,0.8085106382978723,0.7142857142857143,0.7619047619047619,0.8947368421052632
7,7,sigmoid,0.001,0,False,47,25,0.7872340425531915,0.2857142857142857,0.9047619047619048,0.8421052631578947
7,7,sigmoid,0.001,0,False,47,50,0.7872340425531915,1.0,0.6190476190476191,0.8947368421052632
7,7,sigmoid,0.001,0,False,47,100,0.8085106382978723,0.7142857142857143,0.7142857142857143,0.9473684210526315
7,7,sigmoid,0.001,0,False,47,200,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0,False,47,400,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0.5,True,5,25,0.851063829787234,1.0,0.6666666666666666,1.0
7,7,sigmoid,0.001,0.5,True,5,50,0.9148936170212766,1.0,0.8571428571428571,0.9473684210526315
7,7,sigmoid,0.001,0.5,True,5,100,0.9148936170212766,1.0,0.8095238095238095,1.0
7,7,sigmoid,0.001,0.5,True,5,200,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.001,0.5,True,5,400,0.8936170212765957,1.0,0.7619047619047619,1.0
7,7,sigmoid,0.001,0.5,True,47,25,0.723404255319149,1.0,0.47619047619047616,0.8947368421052632
7,7,sigmoid,0.001,0.5,True,47,50,0.7446808510638298,0.7142857142857143,0.5714285714285714,0.9473684210526315
7,7,sigmoid,0.001,0.5,True,47,100,0.8085106382978723,0.7142857142857143,0.6666666666666666,1.0
7,7,sigmoid,0.001,0.5,True,47,200,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0.5,True,47,400,0.8936170212765957,0.8571428571428571,0.8095238095238095,1.0
7,7,sigmoid,0.001,0.5,False,5,25,0.8085106382978723,1.0,0.5714285714285714,1.0
7,7,sigmoid,0.001,0.5,False,5,50,0.8723404255319149,1.0,0.7142857142857143,1.0
7,7,sigmoid,0.001,0.5,False,5,100,0.8085106382978723,0.7142857142857143,0.6666666666666666,1.0
7,7,sigmoid,0.001,0.5,False,5,200,0.851063829787234,0.7142857142857143,0.7619047619047619,1.0
7,7,sigmoid,0.001,0.5,False,5,400,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.001,0.5,False,47,25,0.8085106382978723,0.5714285714285714,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.001,0.5,False,47,50,0.7021276595744681,1.0,0.3333333333333333,1.0
7,7,sigmoid,0.001,0.5,False,47,100,0.851063829787234,1.0,0.6666666666666666,1.0
7,7,sigmoid,0.001,0.5,False,47,200,0.851063829787234,1.0,0.7142857142857143,0.9473684210526315
7,7,sigmoid,0.001,0.5,False,47,400,0.851063829787234,0.7142857142857143,0.7619047619047619,1.0
7,7,sigmoid,0.01,0,True,5,25,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.01,0,True,5,50,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.01,0,True,5,100,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.01,0,True,5,200,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.01,0,True,5,400,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.01,0,True,47,25,0.7872340425531915,0.14285714285714285,0.9523809523809523,0.8421052631578947
7,7,sigmoid,0.01,0,True,47,50,0.8297872340425532,0.5714285714285714,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.01,0,True,47,100,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.01,0,True,47,200,0.851063829787234,0.5714285714285714,0.8095238095238095,1.0
7,7,sigmoid,0.01,0,True,47,400,0.8085106382978723,0.5714285714285714,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.01,0,False,5,25,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.01,0,False,5,50,0.8085106382978723,0.7142857142857143,0.7619047619047619,0.8947368421052632
7,7,sigmoid,0.01,0,False,5,100,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.01,0,False,5,200,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.01,0,False,5,400,0.8085106382978723,0.7142857142857143,0.7619047619047619,0.8947368421052632
7,7,sigmoid,0.01,0,False,47,25,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.01,0,False,47,50,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.01,0,False,47,100,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.01,0,False,47,200,0.8085106382978723,0.7142857142857143,0.7619047619047619,0.8947368421052632
7,7,sigmoid,0.01,0,False,47,400,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.01,0.5,True,5,25,0.8723404255319149,0.8571428571428571,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.01,0.5,True,5,50,0.8936170212765957,0.8571428571428571,0.8095238095238095,1.0
7,7,sigmoid,0.01,0.5,True,5,100,0.8936170212765957,1.0,0.7619047619047619,1.0
7,7,sigmoid,0.01,0.5,True,5,200,0.9148936170212766,1.0,0.8095238095238095,1.0
7,7,sigmoid,0.01,0.5,True,5,400,0.8723404255319149,0.5714285714285714,0.8571428571428571,1.0
7,7,sigmoid,0.01,0.5,True,47,25,0.8297872340425532,0.5714285714285714,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.01,0.5,True,47,50,0.9148936170212766,1.0,0.8095238095238095,1.0
7,7,sigmoid,0.01,0.5,True,47,100,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
7,7,sigmoid,0.01,0.5,True,47,200,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.01,0.5,True,47,400,0.851063829787234,0.7142857142857143,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.01,0.5,False,5,25,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.01,0.5,False,5,50,0.851063829787234,0.7142857142857143,0.7619047619047619,1.0
7,7,sigmoid,0.01,0.5,False,5,100,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
7,7,sigmoid,0.01,0.5,False,5,200,0.851063829787234,0.7142857142857143,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.01,0.5,False,5,400,0.851063829787234,0.7142857142857143,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.01,0.5,False,47,25,0.8297872340425532,0.8571428571428571,0.7142857142857143,0.9473684210526315
7,7,sigmoid,0.01,0.5,False,47,50,0.7872340425531915,0.7142857142857143,0.6666666666666666,0.9473684210526315
7,7,sigmoid,0.01,0.5,False,47,100,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.01,0.5,False,47,200,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
7,7,sigmoid,0.01,0.5,False,47,400,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
7,7,sigmoid,0.1,0,True,5,25,0.8723404255319149,1.0,0.7142857142857143,1.0
7,7,sigmoid,0.1,0,True,5,50,0.8297872340425532,0.5714285714285714,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.1,0,True,5,100,0.851063829787234,0.5714285714285714,0.8095238095238095,1.0
7,7,sigmoid,0.1,0,True,5,200,0.8723404255319149,1.0,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.1,0,True,5,400,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.1,0,True,47,25,0.7872340425531915,0.0,0.9523809523809523,0.8947368421052632
7,7,sigmoid,0.1,0,True,47,50,0.851063829787234,0.5714285714285714,0.8571428571428571,0.9473684210526315
7,7,sigmoid,0.1,0,True,47,100,0.8085106382978723,0.5714285714285714,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.1,0,True,47,200,0.8085106382978723,0.5714285714285714,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.1,0,True,47,400,0.851063829787234,0.5714285714285714,0.9047619047619048,0.8947368421052632
7,7,sigmoid,0.1,0,False,5,25,0.8723404255319149,1.0,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.1,0,False,5,50,0.8723404255319149,0.7142857142857143,0.8571428571428571,0.9473684210526315
7,7,sigmoid,0.1,0,False,5,100,0.851063829787234,0.8571428571428571,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.1,0,False,5,200,0.8723404255319149,0.8571428571428571,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.1,0,False,5,400,0.8297872340425532,0.5714285714285714,0.8095238095238095,0.9473684210526315
7,7,sigmoid,0.1,0,False,47,25,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.1,0,False,47,50,0.8085106382978723,0.5714285714285714,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.1,0,False,47,100,0.8297872340425532,0.8571428571428571,0.7619047619047619,0.8947368421052632
7,7,sigmoid,0.1,0,False,47,200,0.851063829787234,0.7142857142857143,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.1,0,False,47,400,0.8297872340425532,0.7142857142857143,0.8571428571428571,0.8421052631578947
7,7,sigmoid,0.1,0.5,True,5,25,0.851063829787234,0.8571428571428571,0.7142857142857143,1.0
7,7,sigmoid,0.1,0.5,True,5,50,0.9148936170212766,1.0,0.8095238095238095,1.0
7,7,sigmoid,0.1,0.5,True,5,100,0.723404255319149,0.7142857142857143,0.5714285714285714,0.8947368421052632
7,7,sigmoid,0.1,0.5,True,5,200,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.1,0.5,True,5,400,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.1,0.5,True,47,25,0.851063829787234,0.5714285714285714,0.8095238095238095,1.0
7,7,sigmoid,0.1,0.5,True,47,50,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.1,0.5,True,47,100,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
7,7,sigmoid,0.1,0.5,True,47,200,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.1,0.5,True,47,400,0.851063829787234,0.5714285714285714,0.8571428571428571,0.9473684210526315
7,7,sigmoid,0.1,0.5,False,5,25,0.8085106382978723,0.14285714285714285,0.9047619047619048,0.9473684210526315
7,7,sigmoid,0.1,0.5,False,5,50,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
7,7,sigmoid,0.1,0.5,False,5,100,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
7,7,sigmoid,0.1,0.5,False,5,200,0.8085106382978723,0.42857142857142855,0.8571428571428571,0.8947368421052632
7,7,sigmoid,0.1,0.5,False,5,400,0.5319148936170213,1.0,0.0,0.9473684210526315
7,7,sigmoid,0.1,0.5,False,47,25,0.8723404255319149,0.5714285714285714,0.8571428571428571,1.0
7,7,sigmoid,0.1,0.5,False,47,50,0.8936170212765957,0.8571428571428571,0.8095238095238095,1.0
7,7,sigmoid,0.1,0.5,False,47,100,0.851063829787234,0.5714285714285714,0.8571428571428571,0.9473684210526315
7,7,sigmoid,0.1,0.5,False,47,200,0.8936170212765957,0.7142857142857143,0.9047619047619048,0.9473684210526315
7,7,sigmoid,0.1,0.5,False,47,400,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
